filename,spectral_centroid,rmse,rolloff,zcr,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,chroma_stft1,chroma_stft2,chroma_stft3,chroma_stft4,chroma_stft5,chroma_stft6,chroma_stft7,chroma_stft8,chroma_stft9,chroma_stft10,chroma_stft11,chroma_stft12,FirstPeak,SecondPeak,Ratio,BPM_First,BPM_Second,Sum,Var35
classical.00081.au,1213.87230646792,0.0165255255997181,2163.52858410531,0.0605589686532508,143.5546875,-374.741088867188,153.855667114258,-21.5747375488281,20.8465003967285,7.00625324249268,-3.94914317131042,-2.52230453491211,-2.80880546569824,-4.28417587280273,-4.50685739517212,0.160692572593689,0.35974058508873,0.420116305351257,0.222464352846146,0.343721807003021,0.218836963176727,0.362224400043488,0.222019582986832,0.208029612898827,0.248536095023155,0.157513782382011,0.278948336839676,0.0203267946688714,0.0192784638084153,0.948426159779067,178,161,76.3337543924283,classical
classical.00009.au,1216.29376240265,0.0237977113574743,2560.25951846096,0.056270256869195,129.19921875,-356.142211914062,139.805801391602,-6.27847814559937,43.1762886047363,-8.85908126831055,11.042576789856,-8.37395858764648,4.41575622558594,-8.29099941253662,8.67697143554688,0.330171227455139,0.224225252866745,0.426329374313354,0.416453629732132,0.181379109621048,0.179311186075211,0.232008278369904,0.321810752153397,0.21311591565609,0.25439041852951,0.281631946563721,0.184911802411079,0.0201492095334699,0.0198665678319074,0.985972566264051,152,176,149.798717133496,classical
classical.00096.au,1932.85834345479,0.057000208646059,3573.0617275179,0.11752045339106,135.999177631579,-203.587173461914,111.198333740234,-51.5269432067871,39.4759483337402,-10.5464429855347,11.894380569458,-13.1803636550903,15.1129112243652,-7.28582954406738,13.3690738677979,0.214228957891464,0.367528200149536,0.599362552165985,0.251249879598618,0.221330314874649,0.176875919103622,0.219983994960785,0.29548367857933,0.212171763181686,0.468820571899414,0.290951490402222,0.199721977114677,0.019680974196125,0.0181392166744472,0.921662540364417,109,89,99.9517434994498,classical
classical.00080.au,972.03352669267,0.00527561362832785,1907.41346613172,0.03153760219137,123.046875,-549.789001464844,157.084777832031,6.5710277557373,34.4396438598633,13.2774877548218,5.74588346481323,5.06051349639893,-3.00992894172668,2.06072425842285,3.07612729072571,0.367174029350281,0.334420025348663,0.395296812057495,0.481432497501373,0.493115037679672,0.385322332382202,0.556074202060699,0.525066256523132,0.292166322469711,0.272450506687164,0.573328495025635,0.57906585931778,0.0167828874744407,0.0146975816402213,0.875748089391938,158,119,170.383179484751,classical
classical.00054.au,1712.44607588643,0.175421416759491,2833.45786646793,0.116278208446207,129.19921875,-106.191795349121,127.37361907959,-45.2914352416992,31.271671295166,4.31193828582764,-5.06876993179321,-16.118932723999,14.6873970031738,-7.90438890457153,-1.2197802066803,0.508136868476868,0.508361041545868,0.489319980144501,0.369985908269882,0.284765243530273,0.278674155473709,0.210542559623718,0.250623434782028,0.211369380354881,0.211172431707382,0.238335624337196,0.272330850362778,0.0180648237360912,0.0177918623184569,0.984889893108175,92,94,78.9856454990897,classical
classical.00079.au,789.601607036597,0.0188477672636509,1158.45132833664,0.0521123077109133,107.666015625,-437.557281494141,171.027130126953,7.37899398803711,-3.12903070449829,0.791053891181946,-11.1404008865356,-12.5251693725586,-6.89489269256592,-5.84110355377197,-8.4466609954834,0.121738649904728,0.103459618985653,0.30327171087265,0.35568842291832,0.127118438482285,0.195190653204918,0.140477165579796,0.181951254606247,0.287230461835861,0.227929770946503,0.408427327871323,0.159040465950966,0.0196565191519456,0.0186217083981727,0.947355340700262,181,172,68.0562390290865,classical
classical.00041.au,1329.25189410999,0.0213009733706713,2462.12677852288,0.0788169837219427,123.046875,-368.440887451172,124.276252746582,-31.5786876678467,17.6147632598877,2.32381296157837,-5.95169591903687,-11.8085479736328,-5.54875326156616,-5.40648603439331,-1.30452418327332,0.335246175527573,0.247138157486916,0.361183226108551,0.270179122686386,0.464984625577927,0.318163454532623,0.20744800567627,0.23469477891922,0.15824268758297,0.215321943163872,0.214302137494087,0.191651538014412,0.0388798432754984,0.0292579008873842,0.752521060336222,176,166,39.2274637974843,classical
classical.00024.au,1253.17411593984,0.0666956529021263,2292.91113508006,0.0716477149042183,151.999080882353,-223.132934570312,163.240341186523,-34.404712677002,24.1704959869385,-10.2891883850098,3.22783350944519,-12.8669452667236,0.79577511548996,-14.2743501663208,1.66201937198639,0.236567974090576,0.252332299947739,0.452442049980164,0.268998146057129,0.135680437088013,0.158426851034164,0.186941519379616,0.308764845132828,0.206241220235825,0.310499370098114,0.343995332717896,0.179304361343384,0.0701021819230369,0.0497809770894768,0.710120223420862,51,77,36.9688875104032,classical
classical.00049.au,2224.87016394501,0.123812079429626,4467.43131938734,0.109446428139512,143.5546875,-98.3232879638672,98.35693359375,-20.4917602539062,18.8181381225586,-2.09672045707703,2.66357016563416,-7.30994606018066,-3.58692836761475,-7.98606491088867,-1.91630876064301,0.567277729511261,0.221224099397659,0.278722852468491,0.202618435025215,0.340857118368149,0.319575011730194,0.26975429058075,0.504013359546661,0.231725543737411,0.242224022746086,0.197206571698189,0.363843470811844,0.0373562476761756,0.0273065428943258,0.730976599444192,37,72,33.1121854842,classical
classical.00070.au,1355.79791756303,0.031917829066515,2522.40974733335,0.0708559585429567,151.999080882353,-321.183532714844,134.562133789062,-18.2523632049561,22.1907539367676,0.424092590808868,-3.80453968048096,0.493069112300873,-1.14453780651093,-1.89779353141785,-0.103111997246742,0.240194082260132,0.182420074939728,0.251720994710922,0.168905258178711,0.212566122412682,0.27170729637146,0.141623720526695,0.217478141188622,0.226132392883301,0.540053606033325,0.314574092626572,0.163495853543282,0.0253058101443174,0.0223705767151048,0.884009505624472,165,161,63.7209968178978,classical
classical.00014.au,1279.61457767855,0.0316218733787537,2389.50221767366,0.0684731309258901,143.5546875,-324.596130371094,147.814682006836,-31.9228553771973,27.3947582244873,-4.4902138710022,-4.17385768890381,-12.5777835845947,-5.13374996185303,-7.73308420181274,0.834527671337128,0.375130504369736,0.251750499010086,0.449845343828201,0.154919624328613,0.13291896879673,0.0684380605816841,0.173472881317139,0.288163095712662,0.147690013051033,0.255004286766052,0.131432428956032,0.380263686180115,0.0327072105461375,0.0250649954260381,0.766344638002098,37,166,34.8619070064403,classical
