filename,bpm,bpm_weight,danceability,pitch_salience,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,label
classical.00081.au,144.80288696289062,0.3857142925262451,0.8990013003349304,0.4371984601020813,0.030560916289687157,92.2403335571289,369.0462951660156,-107.2359390258789,65.2894287109375,-43.65196990966797,classical
classical.00009.au,151.78704833984375,0.203125,0.7239336371421814,0.3389909267425537,0.02877108007669449,164.06442260742188,316.6797790527344,-64.49899291992188,59.867637634277344,5.219137191772461,classical
classical.00096.au,132.99147033691406,0.32307693362236023,0.8354237675666809,0.4644632339477539,0.06003085523843765,274.97760009765625,352.2044372558594,-166.8955535888672,93.04335021972656,-23.295536041259766,classical
classical.00080.au,125.88911437988281,0.20000000298023224,0.6921787261962891,0.3103152811527252,0.01610095612704754,-4.52747917175293,290.0288391113281,5.846202850341797,18.22271728515625,15.964040756225586,classical
classical.00054.au,93.60037231445312,0.23404255509376526,1.0737053155899048,0.5973659753799438,0.058366961777210236,393.8214416503906,332.12939453125,-125.33857727050781,58.11726379394531,-28.0750789642334,classical
classical.00079.au,104.22002410888672,0.13333334028720856,0.9160521030426025,0.3310977518558502,0.02612750604748726,48.174495697021484,382.5677490234375,-57.84178161621094,20.590717315673828,-43.138668060302734,classical
classical.00041.au,123.94598388671875,0.1428571492433548,0.7948079109191895,0.29963868856430054,0.039952825754880905,127.25013732910156,373.03179931640625,-149.71873474121094,57.65340042114258,-27.256479263305664,classical
classical.00024.au,151.921630859375,0.5405405163764954,1.425528883934021,0.5145672559738159,0.03616085276007652,232.252685546875,388.57611083984375,-129.49423217773438,71.19651794433594,-29.50497055053711,classical
classical.00049.au,146.99716186523438,0.3076923191547394,0.890730619430542,0.5263572335243225,0.05659298971295357,361.0439758300781,355.0959167480469,-162.57363891601562,106.38467407226562,-53.895599365234375,classical
classical.00070.au,162.82913208007812,0.44871795177459717,0.92606520652771,0.46269282698631287,0.03584278002381325,238.29595947265625,310.5117492675781,-82.44715881347656,35.59125900268555,-18.324270248413086,classical
classical.00014.au,146.77606201171875,0.4000000059604645,0.8567172884941101,0.47928333282470703,0.03464603051543236,213.9960479736328,327.76617431640625,-99.7597885131836,40.52275848388672,-16.661197662353516,classical
classical.00055.au,84.4893798828125,0.190476194024086,0.7420853972434998,0.1977727711200714,0.02993156388401985,47.940895080566406,328.1186218261719,-31.676334381103516,6.687408447265625,-30.591768264770508,classical
classical.00034.au,122.87112426757812,0.1964285671710968,0.8579548597335815,0.4044877588748932,0.03740217909216881,221.90753173828125,333.0882263183594,-101.70742797851562,59.28835678100586,-0.10828208923339844,classical
classical.00002.au,99.08969116210938,0.75,1.0793718099594116,0.47146016359329224,0.04568497836589813,210.96437072753906,369.0181579589844,-136.80740356445312,70.39329528808594,-35.57383728027344,classical
