filename,bpm,danceability,pitch_salience,mfcc1,label
reggae.00072.au,84.14783477783203,1.4532474279403687,0.5105631351470947,-94.20941162109375,reggae
reggae.00039.au,153.48486328125,2.0168404579162598,0.16065318882465363,-300.4975280761719,reggae
reggae.00085.au,172.26565551757812,1.3245667219161987,0.5431119799613953,-175.08767700195312,reggae
reggae.00049.au,97.36087036132812,1.556054949760437,0.538132905960083,-121.48995971679688,reggae
reggae.00019.au,146.4732666015625,1.4101307392120361,0.397077351808548,-184.57798767089844,reggae
reggae.00071.au,140.36489868164062,1.6190898418426514,0.35324761271476746,-141.79127502441406,reggae
reggae.00029.au,149.43557739257812,1.7859240770339966,0.31818315386772156,-202.05728149414062,reggae
reggae.00040.au,92.22711944580078,0.9219167232513428,0.563786506652832,-296.11846923828125,reggae
reggae.00090.au,153.62472534179688,1.7313158512115479,0.2696848213672638,-127.27719116210938,reggae
reggae.00091.au,144.6469268798828,1.1973631381988525,0.5624896287918091,-159.90151977539062,reggae
reggae.00053.au,152.3131866455078,1.5066157579421997,0.3040330708026886,-251.37069702148438,reggae
reggae.00026.au,137.7812957763672,1.7532360553741455,0.32191044092178345,-171.5933837890625,reggae
reggae.00038.au,94.91218566894531,1.4228273630142212,0.30106669664382935,-239.9910125732422,reggae
reggae.00051.au,127.93875122070312,3.488229990005493,0.4238896071910858,-154.97036743164062,reggae
reggae.00009.au,78.9822769165039,1.6894084215164185,0.3269990384578705,-232.5360107421875,reggae
reggae.00073.au,84.0886001586914,1.6918509006500244,0.23141559958457947,-105.97007751464844,reggae
reggae.00025.au,120.72418975830078,1.381651759147644,0.3947584927082062,-177.26882934570312,reggae
reggae.00037.au,152.25494384765625,1.6153995990753174,0.2328525334596634,-241.79405212402344,reggae
reggae.00028.au,153.412353515625,1.7931920289993286,0.3431568443775177,-256.2096252441406,reggae
reggae.00023.au,129.21078491210938,1.0550938844680786,0.38755887746810913,-161.74874877929688,reggae
reggae.00059.au,154.49945068359375,1.3081034421920776,0.562376081943512,-93.48225402832031,reggae
reggae.00094.au,127.10955047607422,1.6412626504898071,0.5041165947914124,-97.74687957763672,reggae
reggae.00031.au,79.4429931640625,3.425382375717163,0.25958967208862305,-226.40240478515625,reggae
reggae.00087.au,83.1454086303711,1.4511616230010986,0.2891453206539154,-110.19047546386719,reggae
reggae.00001.au,77.3636474609375,1.4230196475982666,0.43847063183784485,-190.90338134765625,reggae
reggae.00035.au,161.82461547851562,2.113201856613159,0.3477323055267334,-223.3865966796875,reggae
reggae.00016.au,142.2994384765625,1.4014081954956055,0.4322856366634369,-76.06504821777344,reggae
