filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,utempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,label
blues.00084.au,0.39625832438468933,0.2352380007505417,2061.1507350613706,2085.1594475651855,4221.149475286619,0.11339689555921052,112.34714673913044,73.828125,-38.965938568115234,112.03983306884766,-31.817035675048828,38.2408332824707,-6.320413589477539,blues
blues.00046.au,0.38785120844841003,0.10258235037326813,1912.506881317534,2361.474653230927,4776.86278163095,0.05842595056114551,123.046875,123.046875,-182.63827514648438,90.67679595947266,14.119084358215332,67.5498275756836,2.693213701248169,blues
blues.00021.au,0.32108479738235474,0.10115946829319,1046.7488400213692,1480.9337636357516,1830.7889294698143,0.04793735185274768,99.38401442307692,99.38401442307692,-264.6983947753906,138.85597229003906,11.186487197875977,48.52033996582031,14.915178298950195,blues
blues.00094.au,0.376686692237854,0.14101780951023102,1239.3372282343385,1659.4664703824978,2517.6181096410605,0.05090785543246904,103.359375,103.359375,-206.2784423828125,126.6274642944336,10.585206031799316,43.22316360473633,12.501487731933594,blues
blues.00030.au,0.26301610469818115,0.17008137702941895,1379.0817422026992,2004.0008502510527,3015.831763677922,0.03937580120452786,143.5546875,151.99908088235293,-206.9875946044922,117.7814712524414,23.256242752075195,28.294065475463867,-1.0995970964431763,blues
blues.00061.au,0.45190533995628357,0.14176636934280396,2504.026852302045,2180.4386914668803,5077.1526324859715,0.16758439858262383,129.19921875,129.19921875,-82.45470428466797,94.14775848388672,-27.12091827392578,75.65509033203125,-27.509950637817383,blues
blues.00035.au,0.28833019733428955,0.17340749502182007,1506.9793924502912,2096.6376311044605,3404.796078330592,0.045430186363196595,129.19921875,129.19921875,-171.7860565185547,120.28023529052734,15.336581230163574,21.097278594970703,-5.410020351409912,blues
blues.00066.au,0.37470975518226624,0.11049626022577286,2340.432873382551,2256.5381151732736,4972.503265286377,0.1217751517753483,161.4990234375,161.4990234375,-116.51740264892578,97.43028259277344,-13.880189895629883,48.96675491333008,-22.582242965698242,blues
blues.00042.au,0.37751907110214233,0.11100143939256668,2302.1130472489945,2367.695874713366,5188.551958869485,0.09786448759191177,89.10290948275862,60.09265988372093,-159.54498291015625,69.77960205078125,-4.396419525146484,76.85395050048828,3.9205281734466553,blues
blues.00068.au,0.28993234038352966,0.1031152680516243,2513.716817329611,2345.2306141864497,5247.443269428454,0.13514619715073528,161.4990234375,161.4990234375,-113.16776275634766,88.70933532714844,-8.925342559814453,49.487491607666016,-34.58000564575195,blues
blues.00079.au,0.4214945435523987,0.2708703279495239,2443.298207673818,2358.4432925483366,5267.60148086784,0.12473545133513932,161.4990234375,161.4990234375,-3.528043746948242,92.91431427001953,-25.11039924621582,45.177696228027344,-10.861859321594238,blues
blues.00005.au,0.30234643816947937,0.10346758365631104,1831.9423675966686,1729.4832411266989,3480.9372845818016,0.09403986975135449,112.34714673913044,69.83741554054055,-177.86904907226562,118.19690704345703,-17.550674438476562,30.758634567260742,-21.742746353149414,blues
blues.00052.au,0.3390754759311676,0.09890953451395035,1443.2652853188026,1670.3699185470473,3069.356440021527,0.06719384916795666,151.99908088235293,49.69200721153846,-225.2697296142578,117.6458740234375,-14.543757438659668,64.80435180664062,12.92746639251709,blues
blues.00001.au,0.34098318219184875,0.09591842442750931,1529.835315930076,2038.6175789692224,3548.8202074363876,0.056044256724071206,107.666015625,67.99958881578948,-207.55679321289062,124.00672149658203,8.930560111999512,35.87468338012695,2.91603684425354,blues
blues.00033.au,0.2606687545776367,0.13316480815410614,1430.582003472632,2075.602343498585,3246.730367465654,0.04196988982681889,151.99908088235293,151.99908088235293,-239.0109100341797,108.6692123413086,34.149349212646484,30.2427921295166,-0.4709964096546173,blues
blues.00012.au,0.2693200409412384,0.11907171458005905,1361.0454673278878,1567.8045957296179,2739.6251005284926,0.06912392064144737,92.28515625,184.5703125,-207.2080841064453,132.79917907714844,-15.438984870910645,60.98672103881836,0.7258074283599854,blues
blues.00095.au,0.36997249722480774,0.1871483325958252,1388.39474862631,1772.854380462517,2754.525010430776,0.05714742465654025,135.99917763157896,135.99917763157896,-130.553955078125,139.9770965576172,-1.2691466808319092,39.32365036010742,-6.351806640625,blues
